2/0/1,문장
0,이스타항공 창업주 이상직씨가 대법원에서 횡령ㆍ배임죄 징역 6년을 선고받았습니다.
0,이스타항공 창업주 이상직씨가 대법원에서 횡령과 배임죄로 인해 6년간의 징역을 선고받았습니다.
0,"대법원, 이스타항공 창업주 이상직 횡령ㆍ배임죄 징역 6년"
0,이스타항공 창업주 이상직씨가 대법원에서 횡령과 배임죄로 유죄 판결을 받았습니다. 이에 6년간의 징역을 선고받았습니다.
0,"이상직씨는 이스타항공 창업주로서, 대법원에서 횡령과 배임죄로 유죄 판결을 받았습니다. 이에 6년간의 징역을 선고받았습니다."
0,"이상직씨는 이스타항공 창업주로서, 횡령과 배임죄 혐의를 받아 대법원에서 6년간의 징역을 선고받았습니다."
0,"대법원은 이스타항공 창업주인 이상직씨가 횡령과 배임죄를 범했다는 결정을 내렸습니다. 그 결과, 이상직씨는 6년간의 징역을 선고받았습니다."
0,"대법원은 이상직씨가 이스타항공 창업주로서, 횡령과 배임죄를 저질렀다는 판결을 내렸습니다. 이에 이상직씨는 6년간의 징역을 선고받았습니다."
0,"이상직씨는 이스타항공 창업주로서, 대법원에서 횡령ㆍ배임죄에 대한 징역 6년 판결을 받았습니다."
0,"""미주vs한주 항공 수요 회복에 대한 2적인 전망이 이어지고 있으며, 이는 국내외 여행객들의 자신감을 높일 것입니다."""
0,"""델타항공과 대한항공의 노선 확대가, 항공 업계가 새로운 미래를 향해 나아가는 중요한 첫걸음이라고 할 수 있습니다."""
0,"""미주vs한주 항공 수요 회복은 아직 불확실한 상황이지만, 항공사들이 적극적으로 대처하고 있는 모습을 보입니다."""
0,"FLC그룹이 대출 채무 불이행에 이르게 된 이유가 무엇이든, 이로 인해 동방은행과 뱀부항공이 피해를 입은 것은 사실입니다."
0,"FLC그룹의 대출 채무 불이행으로 인해, 동방은행과 뱀부항공이 그룹의 경영위기의 대가를 치르게 되었습니다."
0,FLC그룹의 대출 채무 불이행과 동방은행의 대출 담보물 압류와 뱀부항공 주식 매각은 그룹과 은행의 업무 안정성을 도전하고 있습니다.
0,FLC그룹의 대출 채무 불이행과 동방은행의 대출 담보물 압류와 뱀부항공 주식 매각은 그룹과 동방은행의 비즈니스 리스크를 드러내고 있습니다.
0,"델타 항공, 1분기 실적 기대치에 못미쳐...2분기 전망은 상승세"
0,"1분기 델타 항공 실적, 기대에 못미쳤으나 2분기에는 상승 전망이 보입니다."
0,"델타 항공, 1분기 실적 못지않게 부진...하지만 2분기에는 회복할 전망입니다."
0,"델타 항공, 1분기 실적 예상보다 나쁜 결과...하지만 2분기에는 회복할 전망이 있습니다."
0,"1분기 델타 항공 실적, 예상치에 미달...하지만 2분기에는 좋아질 전망이 있습니다."
0,"델타 항공, 1분기 실적 예상보다 못한 성과...하지만 2분기에는 개선될 가능성이 있습니다."
0,"""제주항공 주식매입에 대한 상임위의 결정에 충격받았다."""
0,"""제주항공 주식매입에 대한 상황에 당황스러웠다."""
0,"""본회의에서 제주항공 주식매입에 대한 통과결과에 의아했다."""
0,"""제주항공 주식매입에 대한 상임위의 결정을 듣고 깜짝 놀랐다."""
0,"""제주항공 주식매입에 대한 본회의의 결정이 이해되지 않았다."""
0,"""제주항공 주식매입에 대한 결정에 대해 혼란스러워한다."""
0,"대법, 이스타항공 배임 및 횡령 혐의로 기소된 전 대표 이상직에게 징역 6년을 선고'"
0,"이스타항공 전 대표인 이상직, 대법에서 배임과 횡령 혐의로 징역 6년 판결'"
0,"대법, 이스타항공 이상직 전 대표에게 배임과 횡령 혐의로 징역 6년을 선고'"
0,"티웨이항공은 이익을 개선하기 위한 다양한 노력을 기울이고 있지만, 주가 상승에는 한계가 있을 것으로 판단됩니다."
0,이익 개선 소식에도 불구하고 티웨이항공의 주가는 큰 변화가 없는 것으로 보입니다.
0,"투자자들의 기대에도 불구하고, 티웨이항공의 주가는 이익 개선 소식에 반응하지 못할 가능성이 있습니다."
0,주가 상승을 기대하지 않는 투자자들은 티웨이항공의 이익 개선 소식을 무시하고 있는 것으로 보입니다.
0,"시장의 반응이 제한적인 이유는, 티웨이항공의 이익 개선이 주가에 큰 영향을 미치지 못하기 때문일 수 있습니다."
0,"주가 상승이 제한적인 이유는, 티웨이항공의 경쟁사들도 이익 개선에 주력하고 있기 때문일 수 있습니다."
0,"ITA항공, LH의 단일 인수 후보로 떠오르면서도 협상이 복잡해지고 있다."
0,ITA항공 인수를 놓고 LH와 경쟁사들의 끊임없는 협상이 이어지고 있다.
0,ITA항공 인수에 대한 LH의 추진 과정에서 예상치 못한 문제가 발생하여 현재 상황이 예측할 수 없는 상태이다.
0,"안전성 문제가 여전히 존재하므로, 여행객들은 여전히 걱정하고 있습니다."
0,"새로운 비즈니스 모델이 도입됨에 따라, 기존의 안정성을 보장하는 것이 어려워지고 있습니다."
0,여행객들은 건강 위험이라는 부담감과 함께 여행을 계획하고 있습니다.
0,"주가 9% 하락한 이유는, 아메리칸 항공이 분기 순익 전망치를 상향 조정했기 때문이다."
0,아메리칸 항공이 분기 실적 전망치를 상승시킨 것이 주가 하락의 이유가 된 것으로 판명되었다.
0,"아메리칸 항공의 분기 실적 전망치가 상향 조정되었음에도 불구하고, 주가는 9% 하락한 것으로 나타났다."
0,"아메리칸 항공의 분기 실적 전망치가 예상보다 높아졌음에도 불구하고, 주가는 9% 하락하게 되었다."
0,"대한항공, 이익잉여금 2조 확보…배당금 미지급 가능성"
0,"대한항공, 이익잉여금 2조 확보…배당금 지급확정 X"
0,"중국 항공업계, 미·중 무역분쟁 등 어려움 속 내년 실적 개선 전망"
0,"중국 국제항공 등 항공사, 경쟁력 확보와 내년 실적 턴어라운드 기대 중"
0,"중국 항공업계, 코로나19 대응 및 국내외 여건 개선으로 내년 실적 개선 예상"
0,"""제주항공 주식 매입안이 '괘씸해도' 상임위에서 통과된 것으로 전해졌습니다."""
0,"""괘씸한 마음으로 기다렸던 제주항공 주식 매입안의 통과 소식을 들었을 때 안도감이 들었어요."""
0,"""제주항공 주식 매입안이 '괘씸해도'라는 이름 때문에 통과되지 않을까 걱정했는데, 상임위에서 통과됐다는 소식을 들어서 안심됩니다."""
0,델타항공의 항공편 예약이 급증하면서 예약을 원하는 많은 여행객들이 실망하고 있습니다.
0,델타항공의 예약 시스템은 예약 취소나 변경에 대한 처리가 느리다는 비판이 있습니다.
0,델타항공의 예약 시스템은 여전히 개선이 필요한 부분이 많다는 의견이 있습니다.
0,델타항공의 대규모 확장 계획으로 인해 항공편 결항이 발생할 가능성이 있다는 우려가 제기되고 있습니다.
0,다른 항공사들도 델타항공과 마찬가지로 예약 시스템 개선에 대한 노력이 필요하다는 비판이 있습니다.
0,"제주항공은 주식 증자를 위해 노력했으나, 어려움에 부딪혔다."
0,제주항공은 어려운 상황으로 인해 주식 증자를 포기했다.
0,주식 증자를 계획했던 제주항공은 어려움으로 인해 이를 미루게 됐다.
0,제주항공은 주식 증자 실패 후 미래 계획에 대한 변화를 검토 중이다.
0,주식 증자를 포기한 제주항공은 다른 방법을 모색하고 있다.
0,"대한항공, 4분기 실적 예상치 하회하면서도 목표주가 하락 가능성 제한"
0,"대한항공 4분기 실적, 예상치 하회하지만 회복 모습… 금융사들 목표주가 상승"
0,"대한항공, 4분기 실적 예상치 따라잡을 가능성 있어…금융사들 목표주가 상승"
0,AK홀딩스와 제주항공 EB 투자로 인해 모두가 이익을 얻은 '윈-윈-윈' 결과였습니다.
0,투자자들은 AK홀딩스의 제주항공 EB 투자로 인해 큰 이익을 얻었습니다.
0,제주항공 EB 투자는 AK홀딩스와 투자자 모두에게 이익이 되는 좋은 결과를 가져왔습니다.
0,제주도의회가 제주항공 주식 매입 계획을 반대하는 입장을 밝히면서 이에 대한 논의가 본격화될 전망입니다.
0,제주도의회가 제주항공 주식 매입 계획에 대한 승인을 보류하고 있는 것으로 알려졌습니다.
0,제주도의회가 제주항공 주식 매입 계획에 대한 결정을 내리는 것에 대한 논의가 아직 진행 중입니다.
0,"4분기 델타항공 실적은 예상치를 뛰어넘었지만, 주가는 4% 감소하였습니다."
0,"델타항공은 4분기 예상 실적을 초과하였으나, 주가는 4% 하락했습니다."
0,"4분기 델타항공 실적은 예상보다 우수하였으나, 주가는 4% 하락하였습니다."
0,중국노선의 회복으로 인해 제주항공은 수익성을 크게 향상시킬 수 있을 것입니다.
0,"도의회와 제주항공의 주식 매입 계획에 대한 불확실성으로 인해, 제주 지역 상생에 대한 우려가 커지고 있습니다."
0,제주항공의 지역 상생 노력이 도의회의 주식 매입 계획에 대한 불확실성으로 인해 제동되고 있다는 소식이 전해졌습니다.
2,"""델타항공과 대한항공의 항공편이 예전보다 더 많아지고 있어, 여행객들의 수요가 높아진 것을 확인할 수 있습니다."""
2,"""미주와 한주 간 항공편 수요가 증가하면서, 여행산업에 대한 2적인 전망이 이어지고 있습니다."""
2,"""델타항공과 대한항공의 노선 확장으로 인해, 항공 여객 수요가 점차 회복되고 있다는 희소식이 전해지고 있습니다."""
