2/0/1,문장
1,"중국 항공업계, 첨단 기술과 효율성 개선을 통한 내년 실적 개선 전망 및 항공주들의 신뢰와 기대 증대"
1,"대한항공, 4분기 실적 예상치 하회 예상에도 금융사들 “목표주가 유지” 추천"
1,"대한항공, 4분기 실적 예상치 높게 설정… ‘희박’ 예상에도 금융사들 목표주가 상승"
1,"대한항공 4분기 실적, 컨센서스 하회 가능성…목표주가 하락 예상"
1,"제주도의회는 제주항공 주식 매입에 대한 검토를 하고 있지만, 결정에는 시간이 걸릴 것으로 예상됩니다."
1,제주도의회의 대다수 의원들은 제주항공 주식 매입 계획에 대해 0적인 입장을 취하고 있습니다.
1,"제주도의회가 제주항공 주식 매입 계획을 검토 중이며, 이에 대한 결정이 지연될 가능성이 있습니다."
1,뱀부항공이 10조동(4억2380만달러)의 유상증자를 추진하고 있다는 보도가 나왔습니다.
1,뱀부항공이 유상증자 계획을 발표했습니다.
1,뱀부항공은 자금 확보를 위해 유상증자를 고려하고 있다는 보도가 있습니다.
1,"""탑라인 관점에서만 본다면, 지금의 LCC는 FSC 의 전성기였던 2010 년, LCC 의 전성기였던 2017-18 년과 유사합니다."""
1,2 분기는 쉬어가는 분기가 될 전망입니다
1,"2007년말 1,900pt대 초반을 기록했던 코스피는 2009년초, 1,000pt대 초반까지 하락했다가 2009년말, 1,722pt에서 마무리됐다"
1,"뒤이어 같은 해 진에어, 이스타항공, 에어부산이 국제선 운항을 시작했으며, 2011년에는 티웨이항공이 뛰어들었다"
1,"닭이 먼저냐 달걀이 먼저냐겠지만, LCC의 국제선 여객 시장 참여는 국민의 해외여행 수요가 늘어나면서부터였고, 한편으로는 해외여행 수요 견인 요인으로 작용하기도 했다"
1,지난해까지 글로벌 항공유 시장에서 중국 지역 수요는 빠져있었다
1,2019년 기준 전체 항공유 시장에서 중국 수요 비중은 11%였다
1,"결국 최근의 상황이 수요가 올라온다는 점에서는 2010년, 2017년, 2018년과 유사하다"
1,업종 의견 Neutral을 유지한다
1,또한 향후 1 년간 수익률이 과거 수익률과 유사한 흐름을 보일 것으로 예상되는 경우에 Neutral(1적) 의견을
1,다만 두 부문 모두 전월비 증가가 이변은 아님
1,"국제선 여객의 경우 4월 초까지 벚꽃 관광 수요가 나오는 경향성이 있으며, 정상시기 그랬듯 동남아 노선은 꺾이는 모습"
1,화물의 경우 코로나 이전에도 3월 물량은 늘상 2월보다 많았음. 이는 2월 영업일수가 다소 적은 탓
1,올해 3월의 MoM 물량 증가에는 국제선 여객 공급 증가에 따른 Belly 자연 증가도 일부 기여했을 것으로 추정
1,결국 여객/화물 모두 더 좋은 것도 더 나쁜 것도 없는 실적
1,업종 의견 Neutral 유지
1,글로벌 항공기 제조사인 보잉과 에어버스의 1~2월 항공기 인도 실적은 총 132대로 작년의 133대와 유사한 수준을 기록했다
1,인천공항의 2월 수송 실적이 발표
1,"2019년 2월 주요 노선별 수송 인원과 비교한 회복률은 1)미주 92.7%, 2)동남아 84.2%, 3)일본 80.3%, 4)구주 60.4%, 5)중국 10.3% 순임 구주와 중국의 회복률이 상대적으로 저조한데, 이는 해당 노선의 증편이 아직 이루어지지 않았기 때문임"
1,풍력 발전 업체들의 주가 하락과 재생 에너지 업체들의 주가 하락 등 유럽에서 왜곡된 정보가 많이 보도되고 있다.
